name,overs,maidens,runs,wickets,economy,0s,4s,6s,wides,no-balls,bpo,balls,team,inns,pos,start date,ground,grnd_ctry
Shane Warne,20,5,70,2,3.5,-,-,-,1,0,6,120,Australia,1,4,19/08/1993,The Oval,England
Shane Warne,40,15,78,3,1.95,-,-,-,0,0,6,240,Australia,3,3,19/08/1993,The Oval,England
Glenn McGrath,10,2,40,0,4,-,-,-,0,0,6,60,Australia,2,2,25/11/1994,Brisbane,Australia
Shane Warne,21.2,7,39,3,1.82,-,-,-,0,0,6,128,Australia,2,4,25/11/1994,Brisbane,Australia
Glenn McGrath,19,4,61,0,3.21,-,-,-,0,0,6,114,Australia,4,1,25/11/1994,Brisbane,Australia
Shane Warne,50.2,22,71,8,1.41,-,-,-,0,0,6,302,Australia,4,3,25/11/1994,Brisbane,Australia
Shane Warne,27.4,8,64,6,2.31,-,-,-,0,0,6,166,Australia,2,4,24/12/1994,Melbourne,Australia
Shane Warne,13,6,16,3,1.23,-,-,-,0,0,6,78,Australia,4,3,24/12/1994,Melbourne,Australia
Shane Warne,36,10,88,1,2.44,-,-,-,0,0,6,216,Australia,1,3,1/01/1995,Sydney,Australia
Shane Warne,16,2,48,0,3,-,-,-,0,0,6,96,Australia,3,4,1/01/1995,Sydney,Australia
Shane Warne,31,9,72,2,2.32,-,-,-,0,0,6,186,Australia,1,4,26/01/1995,Adelaide,Australia
Shane Warne,30.5,9,82,2,2.65,-,-,-,0,0,6,185,Australia,3,3,26/01/1995,Adelaide,Australia
Glenn McGrath,25,6,88,3,3.52,-,-,-,0,1,6,150,Australia,2,2,3/02/1995,Perth,Australia
Shane Warne,23,8,58,2,2.52,-,-,-,0,0,6,138,Australia,2,5,3/02/1995,Perth,Australia
Glenn McGrath,13,4,40,3,3.07,-,-,-,1,2,6,78,Australia,4,2,3/02/1995,Perth,Australia
Shane Warne,7,3,11,0,1.57,-,-,-,0,0,6,42,Australia,4,4,3/02/1995,Perth,Australia
