name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Graham Gooch,lbw,68,118,174,10,0,57.62,England,4,1,1989-06-08,Leeds,England
David Gower,caught,34,44,52,6,0,77.27,England,4,5,1989-06-08,Leeds,England
Graham Gooch,caught,60,123,168,9,0,48.78,England,1,1,1989-06-22,Lord's,England
David Gower,bowled,57,62,105,8,0,91.93,England,1,5,1989-06-22,Lord's,England
Allan Border,caught,35,62,81,5,0,56.45,Australia,2,4,1989-06-22,Lord's,England
Steve Waugh,not out,152,249,330,17,0,61.04,Australia,2,6,1989-06-22,Lord's,England
Graham Gooch,lbw,0,3,2,0,0,0.0,England,3,1,1989-06-22,Lord's,England
David Gower,caught,106,198,269,16,0,53.53,England,3,5,1989-06-22,Lord's,England
Allan Border,caught,1,9,17,0,0,11.11,Australia,4,4,1989-06-22,Lord's,England
Steve Waugh,not out,21,40,70,2,0,52.5,Australia,4,6,1989-06-22,Lord's,England
Allan Border,bowled,8,21,18,1,0,38.09,Australia,1,4,1989-07-06,Birmingham,England
Steve Waugh,bowled,43,54,80,6,0,79.62,Australia,1,6,1989-07-06,Birmingham,England
Graham Gooch,lbw,8,33,40,1,0,24.24,England,2,1,1989-07-06,Birmingham,England
David Gower,lbw,8,26,39,1,0,30.76,England,2,3,1989-07-06,Birmingham,England
Graham Gooch,bowled,11,32,50,1,0,34.37,England,1,1,1989-07-27,Manchester,England
David Gower,lbw,35,51,87,6,0,68.62,England,1,5,1989-07-27,Manchester,England
Allan Border,caught,80,266,313,10,0,30.07,Australia,2,4,1989-07-27,Manchester,England
Steve Waugh,caught,92,174,203,7,0,52.87,Australia,2,6,1989-07-27,Manchester,England
Graham Gooch,caught,13,23,50,2,0,56.52,England,3,1,1989-07-27,Manchester,England
David Gower,caught,15,40,68,1,0,37.5,England,3,5,1989-07-27,Manchester,England
Allan Border,not out,65,143,225,7,0,45.45,Australia,1,4,1989-08-10,Nottingham,England
Steve Waugh,caught,0,8,14,0,0,0.0,Australia,1,6,1989-08-10,Nottingham,England
David Gower,caught,11,25,33,0,0,44.0,England,2,5,1989-08-10,Nottingham,England
David Gower,bowled,5,5,6,1,0,100.0,England,3,1,1989-08-10,Nottingham,England
Allan Border,caught,76,156,251,11,0,48.71,Australia,1,4,1989-08-24,The Oval,England
Steve Waugh,bowled,14,28,44,1,0,50.0,Australia,1,6,1989-08-24,The Oval,England
Graham Gooch,lbw,0,3,2,0,0,0.0,England,2,1,1989-08-24,The Oval,England
David Gower,caught,79,120,166,11,0,65.83,England,2,5,1989-08-24,The Oval,England
Allan Border,not out,51,74,109,5,0,68.91,Australia,3,4,1989-08-24,The Oval,England
Steve Waugh,not out,7,12,24,0,0,58.33,Australia,3,6,1989-08-24,The Oval,England
Graham Gooch,caught,10,34,55,0,0,29.41,England,4,1,1989-08-24,The Oval,England
David Gower,caught,7,24,24,0,0,29.16,England,4,5,1989-08-24,The Oval,England
David Gower,caught,61,121,162,8,0,50.41,England,1,3,1990-11-23,Brisbane,Australia
Allan Border,caught,9,30,33,1,0,30.0,Australia,2,4,1990-11-23,Brisbane,Australia
Steve Waugh,caught,1,4,7,0,0,25.0,Australia,2,6,1990-11-23,Brisbane,Australia
David Gower,bowled,27,44,63,2,0,61.36,England,3,3,1990-11-23,Brisbane,Australia
Graham Gooch,lbw,20,33,39,2,0,60.6,England,1,1,1990-12-26,Melbourne,Australia
David Gower,caught,100,170,254,8,0,58.82,England,1,5,1990-12-26,Melbourne,Australia
Allan Border,caught,62,164,239,5,0,37.8,Australia,2,4,1990-12-26,Melbourne,Australia
Steve Waugh,bowled,19,47,61,2,0,40.42,Australia,2,6,1990-12-26,Melbourne,Australia
Graham Gooch,caught,58,116,147,9,0,50.0,England,3,1,1990-12-26,Melbourne,Australia
David Gower,caught,0,6,11,0,0,0.0,England,3,5,1990-12-26,Melbourne,Australia
Allan Border,bowled,78,184,251,10,0,42.39,Australia,1,4,1991-01-04,Sydney,Australia
Steve Waugh,caught,48,61,66,8,0,78.68,Australia,1,6,1991-01-04,Sydney,Australia
Graham Gooch,caught,59,127,148,5,0,46.45,England,2,1,1991-01-04,Sydney,Australia
David Gower,caught,123,236,312,15,0,52.11,England,2,5,1991-01-04,Sydney,Australia
Allan Border,caught,20,29,34,3,0,68.96,Australia,3,5,1991-01-04,Sydney,Australia
Steve Waugh,caught,14,28,32,2,0,50.0,Australia,3,7,1991-01-04,Sydney,Australia
Graham Gooch,caught,54,42,68,7,0,128.57,England,4,1,1991-01-04,Sydney,Australia
David Gower,caught,36,38,53,3,0,94.73,England,4,2,1991-01-04,Sydney,Australia
Allan Border,bowled,12,33,75,0,0,36.36,Australia,1,4,1991-01-25,Adelaide,Australia
Graham Gooch,caught,87,197,284,8,0,44.16,England,2,1,1991-01-25,Adelaide,Australia
David Gower,caught,11,20,34,1,0,55.0,England,2,5,1991-01-25,Adelaide,Australia
Allan Border,not out,83,148,224,6,0,56.08,Australia,3,7,1991-01-25,Adelaide,Australia
Graham Gooch,caught,117,188,214,12,0,62.23,England,4,1,1991-01-25,Adelaide,Australia
David Gower,lbw,16,27,54,2,0,59.25,England,4,4,1991-01-25,Adelaide,Australia
Graham Gooch,caught,13,33,39,2,0,39.39,England,1,1,1991-02-01,Perth,Australia
David Gower,not out,28,52,94,3,0,53.84,England,1,5,1991-02-01,Perth,Australia
Allan Border,lbw,17,22,48,3,0,77.27,Australia,2,4,1991-02-01,Perth,Australia
Graham Gooch,caught,18,62,91,2,0,29.03,England,3,1,1991-02-01,Perth,Australia
David Gower,caught,5,6,7,1,0,83.33,England,3,5,1991-02-01,Perth,Australia
Allan Border,stumped,17,54,70,1,0,31.48,Australia,1,5,1993-06-03,Manchester,England
Steve Waugh,bowled,3,19,21,0,0,15.78,Australia,1,6,1993-06-03,Manchester,England
Graham Gooch,caught,65,137,182,6,0,47.44,England,2,1,1993-06-03,Manchester,England
Allan Border,caught,31,87,131,1,0,35.63,Australia,3,5,1993-06-03,Manchester,England
Steve Waugh,not out,78,134,192,8,0,58.2,Australia,3,6,1993-06-03,Manchester,England
Graham Gooch,handled ball,133,247,309,21,2,53.84,England,4,1,1993-06-03,Manchester,England
Allan Border,bowled,77,121,161,12,0,63.63,Australia,1,5,1993-06-17,Lord's,England
Steve Waugh,not out,13,32,51,1,0,40.62,Australia,1,6,1993-06-17,Lord's,England
Graham Gooch,caught,12,41,36,1,0,29.26,England,2,1,1993-06-17,Lord's,England
Graham Gooch,caught,29,93,92,3,0,31.18,England,3,1,1993-06-17,Lord's,England
Graham Gooch,caught,38,82,100,7,0,46.34,England,1,5,1993-07-01,Nottingham,England
Steve Waugh,caught,13,28,38,1,0,46.42,Australia,2,5,1993-07-01,Nottingham,England
Allan Border,caught,38,129,176,7,0,29.45,Australia,2,8,1993-07-01,Nottingham,England
Graham Gooch,caught,120,265,326,18,1,45.28,England,3,5,1993-07-01,Nottingham,England
Allan Border,caught,2,10,13,0,0,20.0,Australia,4,5,1993-07-01,Nottingham,England
Steve Waugh,not out,47,145,196,5,0,32.41,Australia,4,6,1993-07-01,Nottingham,England
Allan Border,not out,200,399,569,26,0,50.12,Australia,1,5,1993-07-22,Leeds,England
Steve Waugh,not out,157,305,405,19,0,51.47,Australia,1,6,1993-07-22,Leeds,England
Graham Gooch,lbw,59,129,156,8,1,45.73,England,2,5,1993-07-22,Leeds,England
Graham Gooch,stumped,26,40,63,5,0,65.0,England,3,5,1993-07-22,Leeds,England
Graham Gooch,caught,8,20,24,1,0,40.0,England,1,1,1993-08-05,Birmingham,England
Allan Border,caught,3,9,9,0,0,33.33,Australia,2,5,1993-08-05,Birmingham,England
Steve Waugh,caught,59,175,230,6,0,33.71,Australia,2,6,1993-08-05,Birmingham,England
Graham Gooch,bowled,48,150,178,6,0,32.0,England,3,1,1993-08-05,Birmingham,England
Graham Gooch,caught,56,66,89,10,0,84.84,England,1,1,1993-08-19,The Oval,England
Allan Border,caught,48,107,162,6,0,44.85,Australia,2,5,1993-08-19,The Oval,England
Steve Waugh,bowled,20,36,37,3,0,55.55,Australia,2,6,1993-08-19,The Oval,England
Graham Gooch,caught,79,183,226,13,0,43.16,England,3,1,1993-08-19,The Oval,England
Allan Border,caught,17,73,91,1,0,23.28,Australia,4,5,1993-08-19,The Oval,England
Steve Waugh,lbw,26,81,101,3,0,32.09,Australia,4,6,1993-08-19,The Oval,England
Steve Waugh,caught,19,30,33,3,0,63.33,Australia,1,7,1994-11-25,Brisbane,Australia
Graham Gooch,caught,20,30,32,2,1,66.66,England,2,5,1994-11-25,Brisbane,Australia
Steve Waugh,caught,7,21,25,1,0,33.33,Australia,3,6,1994-11-25,Brisbane,Australia
Graham Gooch,caught,56,137,153,10,0,40.87,England,4,5,1994-11-25,Brisbane,Australia
Steve Waugh,not out,94,191,265,5,0,49.21,Australia,1,6,1994-12-24,Melbourne,Australia
Graham Gooch,caught,15,52,67,1,0,28.84,England,2,5,1994-12-24,Melbourne,Australia
Steve Waugh,not out,26,73,92,0,0,35.61,Australia,3,6,1994-12-24,Melbourne,Australia
Graham Gooch,caught,2,8,9,0,0,25.0,England,4,1,1994-12-24,Melbourne,Australia
Graham Gooch,caught,1,9,7,0,0,11.11,England,1,1,1995-01-01,Sydney,Australia
Steve Waugh,bowled,1,8,11,0,0,12.5,Australia,2,6,1995-01-01,Sydney,Australia
Graham Gooch,lbw,29,37,61,4,0,78.37,England,3,1,1995-01-01,Sydney,Australia
Steve Waugh,caught,0,8,8,0,0,0.0,Australia,4,6,1995-01-01,Sydney,Australia
Graham Gooch,caught,47,105,147,4,0,44.76,England,1,1,1995-01-26,Adelaide,Australia
Steve Waugh,caught,19,33,45,2,0,57.57,Australia,2,5,1995-01-26,Adelaide,Australia
Graham Gooch,caught,34,101,133,3,0,33.66,England,3,1,1995-01-26,Adelaide,Australia
Steve Waugh,bowled,0,1,2,0,0,0.0,Australia,4,5,1995-01-26,Adelaide,Australia
Steve Waugh,not out,99,183,288,12,0,54.09,Australia,1,5,1995-02-03,Perth,Australia
Graham Gooch,lbw,37,76,101,4,0,48.68,England,2,1,1995-02-03,Perth,Australia
Steve Waugh,caught,80,141,215,9,0,56.73,Australia,3,6,1995-02-03,Perth,Australia
Graham Gooch,caught,4,12,10,0,0,33.33,England,4,1,1995-02-03,Perth,Australia
Steve Waugh,caught,12,20,31,3,0,60.0,Australia,1,5,1997-06-05,Birmingham,England
Steve Waugh,lbw,33,100,135,3,0,33.0,Australia,3,4,1997-06-05,Birmingham,England
Steve Waugh,lbw,0,1,3,0,0,0.0,Australia,2,6,1997-06-19,Lord's,England
Steve Waugh,bowled,108,174,241,13,0,62.06,Australia,1,5,1997-07-03,Manchester,England
Steve Waugh,caught,116,271,383,10,0,42.8,Australia,3,5,1997-07-03,Manchester,England
Steve Waugh,caught,4,12,15,0,0,33.33,Australia,2,5,1997-07-24,Leeds,England
Steve Waugh,bowled,75,102,170,13,0,73.52,Australia,1,5,1997-08-07,Nottingham,England
