name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Alastair Cook,bowled,96,233,347,13,0,41.2,England,2,2,2015-07-16,Lord's,England
Steven Smith,bowled,58,48,67,9,0,120.83,Australia,3,3,2015-07-16,Lord's,England
Alastair Cook,caught,11,31,39,2,0,35.48,England,4,2,2015-07-16,Lord's,England
Steven Smith,caught,7,18,26,1,0,38.88,Australia,1,3,2015-07-29,Birmingham,England
Alastair Cook,caught,34,48,75,5,0,70.83,England,2,2,2015-07-29,Birmingham,England
Steven Smith,caught,8,27,40,1,0,29.62,Australia,3,3,2015-07-29,Birmingham,England
Alastair Cook,bowled,7,12,18,0,0,58.33,England,4,2,2015-07-29,Birmingham,England
Steven Smith,caught,6,3,2,1,0,200.0,Australia,1,3,2015-08-06,Nottingham,England
Alastair Cook,lbw,43,87,122,7,0,49.42,England,2,2,2015-08-06,Nottingham,England
Steven Smith,caught,5,9,20,1,0,55.55,Australia,3,3,2015-08-06,Nottingham,England
Steven Smith,bowled,143,252,387,17,2,56.74,Australia,1,3,2015-08-20,The Oval,England
Alastair Cook,bowled,22,21,30,4,0,104.76,England,2,2,2015-08-20,The Oval,England
Alastair Cook,caught,85,234,330,11,0,36.32,England,3,2,2015-08-20,The Oval,England
Alastair Cook,caught,2,10,13,0,0,20.0,England,1,1,2017-11-23,Brisbane,Australia
Steven Smith,not out,141,326,512,14,0,43.25,Australia,2,4,2017-11-23,Brisbane,Australia
